Country/Region,Population
Afghanistan,34656032.0
Albania,2876101.0
Algeria,40606052.0
Andorra,77281.0
Antigua and Barbuda,100963.0
Argentina,43847430.0
Armenia,2924816.0
Aruba,104822.0
Australia,24127159.0
Austria,8747358.0
Azerbaijan,9762274.0
Bahrain,1425171.0
Bangladesh,162951560.0
Belarus,9507120.0
Belgium,11348159.0
Bhutan,797765.0
Bolivia,10887882.0
Bosnia and Herzegovina,3516816.0
Brazil,207652865.0
Brunei,423196.0
Bulgaria,7127822.0
Burkina Faso,18646433.0
Cambodia,15762370.0
Cameroon,23439189.0
Canada,36286425.0
Cayman Islands,60765.0
Chile,17909754.0
China,1378665000.0
Colombia,48653419.0
Congo (Kinshasa),5125821.0
Costa Rica,4857274.0
Cote d'Ivoire,23695919.0
Croatia,4170600.0
Cruise Ship,
Cuba,11475982.0
Cyprus,1170125.0
Czechia,10561633.0
Denmark,5731118.0
Dominican Republic,10648791.0
Ecuador,16385068.0
Egypt,95688681.0
Estonia,1316481.0
Ethiopia,102403196.0
Finland,5495096.0
France,66896109.0
French Guiana,
Georgia,3719300.0
Germany,82667685.0
Greece,10746740.0
Guadeloupe,
Guinea,12395924.0
Guyana,773303.0
Holy See,
Honduras,9112867.0
Hungary,9817958.0
Iceland,334252.0
India,1324171354.0
Indonesia,261115456.0
Iran,80277428.0
Iraq,37202572.0
Ireland,4773095.0
Israel,8547100.0
Italy,60600590.0
Jamaica,2881355.0
Japan,126994511.0
Jordan,9455802.0
Kazakhstan,17797032.0
Kenya,48461567.0
"Korea, South",51470000.0
Kuwait,4052584.0
Latvia,1960424.0
Lebanon,6006668.0
Liechtenstein,37666.0
Lithuania,2872298.0
Luxembourg,582972.0
Malaysia,31187265.0
Maldives,417492.0
Malta,436947.0
Martinique,
Mexico,127540423.0
Moldova,3552000.0
Monaco,38499.0
Mongolia,3027398.0
Morocco,35276786.0
Nepal,28982771.0
Netherlands,17018408.0
New Zealand,4692700.0
Nigeria,185989640.0
North Macedonia,
Norway,5232929.0
Oman,4424762.0
Pakistan,193203476.0
Panama,4034119.0
Paraguay,6725308.0
Peru,31773839.0
Philippines,103320222.0
Poland,37948016.0
Portugal,10324611.0
Qatar,2569804.0
Reunion,
Romania,19705301.0
Russia,51470000.0
San Marino,33203.0
Saudi Arabia,32275687.0
Senegal,15411614.0
Serbia,7057412.0
Singapore,5607283.0
Slovakia,51470000.0
Slovenia,2064845.0
South Africa,55908865.0
Spain,46443959.0
Sri Lanka,21203000.0
Sudan,39578828.0
Sweden,9903122.0
Switzerland,8372098.0
Taiwan*,23780000.0
Thailand,68863514.0
Togo,7606374.0
Tunisia,11403248.0
Turkey,79512426.0
US,23780000.0
Ukraine,45004645.0
United Arab Emirates,9269612.0
United Kingdom,65637239.0
Vietnam,92701100.0
